ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,10000,2,4,1,21,0,0,0,2,-1,-1,13885.0,31004.0,20759.0,30466.0,49011.0,33012.0,3278.0,723.0,600.0,7739.0,6302.0,3447.0,0
2,180000,2,2,2,48,3,-1,0,-1,1,0,33795.0,40909.0,49420.0,27328.0,12265.0,1045.0,2880.0,2994.0,4012.0,1560.0,1592.0,4030.0,1
3,120000,2,4,2,57,-1,1,-1,-1,0,0,49128.0,15523.0,2652.0,4346.0,56179.0,50770.0,6238.0,2785.0,4559.0,5131.0,5879.0,4928.0,1
4,90000,1,4,1,47,0,2,1,3,0,0,17673.0,12072.0,5832.0,7131.0,29974.0,6863.0,4216.0,2751.0,5859.0,6433.0,1437.0,1355.0,1
5,90000,2,3,1,39,1,0,0,0,-1,-1,40511.0,37485.0,50028.0,35717.0,50632.0,59904.0,5735.0,7031.0,4577.0,7047.0,3626.0,5421.0,1
6,360000,2,4,1,61,0,0,0,-1,0,-1,1368.0,23052.0,3797.0,34150.0,31289.0,16301.0,5566.0,45.0,1505.0,2833.0,5989.0,4706.0,1
7,10000,1,3,1,39,0,0,1,-1,1,0,52639.0,44164.0,57566.0,33294.0,36233.0,22739.0,6715.0,4312.0,2934.0,5574.0,290.0,4161.0,1
8,120000,2,3,2,55,0,3,-1,-1,1,-1,36864.0,8792.0,45516.0,9385.0,9709.0,9591.0,2537.0,7857.0,3550.0,3867.0,5805.0,6674.0,1
9,20000,2,2,1,43,-1,-1,-1,0,0,1,44586.0,7266.0,39906.0,30596.0,20319.0,49465.0,576.0,7004.0,7871.0,858.0,1807.0,5497.0,0
10,10000,2,4,3,22,0,-1,0,-1,1,-1,49528.0,33165.0,32178.0,3657.0,43351.0,43929.0,3821.0,4852.0,4260.0,1782.0,5593.0,7459.0,0
11,90000,2,3,1,46,-1,0,3,2,0,0,13126.0,23549.0,5360.0,8648.0,50543.0,4713.0,5180.0,7983.0,5079.0,5985.0,3993.0,7812.0,1
12,360000,1,4,2,23,-1,0,-1,2,0,0,27032.0,43761.0,24872.0,29920.0,5332.0,6336.0,6536.0,3218.0,5884.0,5488.0,209.0,6602.0,0
13,180000,2,2,3,66,0,-1,-1,0,1,1,51518.0,30367.0,48465.0,37017.0,4611.0,36547.0,2136.0,4890.0,2897.0,4168.0,6095.0,2383.0,0
14,180000,1,4,2,50,0,0,-1,0,-1,-1,9882.0,21279.0,54231.0,39322.0,41585.0,51959.0,5962.0,4350.0,7715.0,6248.0,2079.0,1511.0,0
15,180000,2,1,3,39,1,-1,1,-1,-1,-1,49347.0,9580.0,26818.0,58916.0,26825.0,6588.0,6657.0,378.0,5399.0,5530.0,7618.0,2394.0,1
16,180000,2,1,1,44,-1,2,-1,-1,-1,-1,17284.0,9804.0,50358.0,51248.0,50916.0,13266.0,6467.0,324.0,6786.0,2715.0,6719.0,5700.0,0
17,90000,1,3,1,51,-1,-1,0,0,0,0,34530.0,45350.0,46595.0,22786.0,4093.0,32720.0,6464.0,7175.0,5993.0,2351.0,1542.0,6914.0,0
18,10000,1,3,1,33,2,-1,3,-1,0,-1,30599.0,13590.0,3457.0,46970.0,20963.0,6515.0,7898.0,1389.0,4972.0,7560.0,4806.0,7041.0,1
19,180000,1,4,1,35,-1,-1,-1,-1,0,1,41189.0,30146.0,37210.0,5738.0,2126.0,18273.0,5289.0,2838.0,247.0,7774.0,2896.0,5471.0,0
20,90000,1,2,1,41,-1,-1,0,-1,0,-1,50200.0,49086.0,36965.0,51434.0,42565.0,606.0,2962.0,4986.0,4669.0,244.0,4817.0,5448.0,0
21,90000,1,3,1,33,-1,-1,0,-1,-1,-1,20938.0,53870.0,32572.0,23198.0,51471.0,29949.0,3491.0,4604.0,1036.0,6326.0,4456.0,7615.0,0
22,50000,1,3,3,58,0,-1,1,0,1,0,10305.0,16058.0,46336.0,45604.0,9406.0,42912.0,5976.0,4114.0,4825.0,1063.0,2367.0,5486.0,0
23,20000,1,4,1,26,1,-1,-1,0,-1,1,25369.0,6577.0,53369.0,58237.0,19438.0,24718.0,1892.0,7833.0,5611.0,6889.0,5211.0,1127.0,0
24,360000,1,3,3,61,1,-1,0,1,2,1,36728.0,46482.0,33029.0,42194.0,50756.0,15397.0,4822.0,6296.0,4361.0,4710.0,2081.0,4001.0,1
25,180000,2,2,3,38,0,-1,-1,0,-1,0,45026.0,41236.0,19223.0,55214.0,2485.0,25461.0,4581.0,7534.0,2467.0,5502.0,7258.0,2869.0,0
26,120000,1,4,3,48,-1,-1,0,1,0,0,45202.0,19871.0,58980.0,608.0,57121.0,30569.0,5332.0,5269.0,474.0,5611.0,7572.0,5095.0,0
27,50000,1,1,1,28,-1,-1,1,0,0,0,20397.0,35614.0,57817.0,10233.0,53219.0,9943.0,3370.0,7832.0,5368.0,4839.0,1327.0,5086.0,0
28,180000,1,4,3,39,0,-1,-1,1,1,0,56162.0,11323.0,41162.0,37566.0,9161.0,6696.0,5918.0,4811.0,5586.0,2005.0,5822.0,2355.0,0
29,90000,2,1,2,57,-1,-1,-1,0,-1,-1,4990.0,42040.0,38438.0,32435.0,8335.0,10909.0,571.0,4333.0,3823.0,6457.0,7435.0,2397.0,0
30,90000,1,2,3,34,-1,-1,1,-1,2,0,7002.0,43638.0,6248.0,7228.0,41511.0,59117.0,5997.0,6522.0,5730.0,4432.0,1014.0,710.0,0
31,90000,2,4,2,27,-1,-1,-1,2,0,1,1486.0,17962.0,24096.0,43102.0,605.0,43377.0,6495.0,6950.0,6232.0,4360.0,5917.0,2346.0,0
32,20000,1,3,3,46,-1,1,-1,-1,0,-1,55583.0,28112.0,11897.0,3520.0,30349.0,7523.0,7085.0,546.0,4099.0,2547.0,7501.0,6621.0,0
33,10000,1,4,2,28,0,3,0,-1,0,0,10807.0,20044.0,30893.0,59446.0,3955.0,18081.0,7382.0,7284.0,381.0,80.0,1800.0,5241.0,1
34,90000,1,3,1,36,0,2,-1,-1,-1,0,36088.0,1876.0,49574.0,9384.0,31889.0,24715.0,2794.0,5527.0,6963.0,4432.0,4658.0,7545.0,1
35,360000,1,3,2,43,-1,0,-1,-1,0,0,48777.0,7638.0,13471.0,26728.0,21011.0,10872.0,371.0,7181.0,3733.0,2760.0,6382.0,7410.0,0
36,10000,2,2,1,48,0,0,0,-1,-1,-1,46002.0,57596.0,59805.0,49397.0,42389.0,51098.0,5227.0,5724.0,5379.0,5274.0,2666.0,6854.0,1
37,360000,1,1,3,52,1,-1,-1,0,-1,0,56930.0,27362.0,7771.0,30842.0,52842.0,56435.0,721.0,7415.0,7287.0,2916.0,1902.0,1437.0,0
38,180000,1,1,1,54,0,1,0,1,0,1,3226.0,8865.0,5900.0,44630.0,29324.0,14693.0,2242.0,2201.0,2901.0,7782.0,3177.0,2671.0,1
39,20000,2,2,1,62,1,1,0,-1,0,-1,24424.0,2656.0,58468.0,42218.0,38506.0,992.0,5619.0,1501.0,4975.0,5446.0,2683.0,459.0,1
40,120000,2,1,2,24,0,1,0,0,-1,-1,30368.0,21204.0,6019.0,56926.0,36019.0,16018.0,4756.0,1565.0,157.0,3645.0,5803.0,748.0,1
41,20000,2,3,2,38,1,1,-1,-1,-1,-1,41768.0,58969.0,44111.0,27837.0,59095.0,34951.0,4853.0,2017.0,7080.0,5665.0,2967.0,1848.0,1
